timestamp,alphaDeg,measured,predicted,symmetric,error
1779423883496,342.612,8122.000,8052.187,8075.956,-69.813
1779423883508,346.929,8157.000,8038.368,8062.172,-118.632
1779423883516,342.706,8157.000,8052.217,8075.956,-104.783
1779423883528,347.044,8157.000,8037.497,8112.092,-119.503
1779423883536,342.821,8157.000,8052.253,8075.956,-104.747
1779423883556,342.905,8157.000,8052.279,8075.956,-104.721
1779423883576,343.020,8157.000,8052.315,8039.276,-104.685
1779423883596,343.146,8157.000,8052.355,8039.276,-104.645
1779423883616,343.229,8157.000,8052.381,8039.276,-104.619
1779423883636,343.345,8157.000,8052.418,8039.276,-104.582
1779423883656,343.439,8191.000,8052.447,8039.276,-138.553
1779423883676,343.543,8191.000,8052.480,8039.276,-138.520
1779423883696,343.659,8191.000,8052.517,8039.276,-138.483
1779423883716,343.753,8191.000,8052.546,8039.276,-138.454
1779423883736,343.868,8225.000,8052.582,8039.276,-172.418
1779423883756,343.962,8225.000,8052.612,8039.276,-172.388
1779423883776,344.066,8191.000,8052.645,8070.114,-138.355
1779423883796,344.171,8191.000,8052.678,8070.114,-138.322
1779423883816,344.286,8191.000,8052.714,8070.114,-138.286
1779423883836,344.380,8191.000,8052.744,8070.114,-138.256
1779423883856,344.485,8191.000,8052.777,8070.114,-138.223
1779423883862,340.157,8157.000,8051.414,8092.465,-105.586
1779423883876,344.600,8191.000,8052.813,8070.114,-138.187
1779423883882,340.261,8157.000,8051.447,8092.465,-105.553
1779423883896,344.694,8191.000,8052.843,8070.114,-138.157
1779423883902,340.366,8157.000,8051.480,8092.465,-105.520
1779423883916,344.809,8191.000,8052.879,8070.114,-138.121
1779423883922,340.481,8157.000,8051.516,8092.465,-105.484
1779423883936,344.903,8191.000,8052.908,8070.114,-138.092
1779423883942,340.575,8157.000,8051.545,8092.465,-105.455
1779423883962,340.690,8157.000,8051.582,8092.465,-105.418
1779423883982,340.784,8157.000,8051.611,8092.465,-105.389
1779423884002,340.888,8157.000,8051.644,8092.465,-105.356
1779423884022,341.003,8157.000,8051.680,8079.962,-105.320
1779423884042,341.097,8157.000,8051.710,8079.962,-105.290
1779423884062,341.212,8122.000,8051.746,8079.962,-70.254
1779423884082,341.327,8122.000,8051.782,8079.962,-70.218
1779423884102,341.410,8157.000,8051.809,8079.962,-105.191
1779423884122,341.525,8157.000,8051.845,8079.962,-105.155
1779423884142,341.619,8157.000,8051.874,8079.962,-105.126
1779423884162,341.734,8157.000,8051.911,8079.962,-105.089
1779423884182,341.828,8157.000,8051.940,8079.962,-105.060
1779423884202,341.932,8157.000,8051.973,8079.962,-105.027
1779423884222,342.026,8157.000,8052.002,8075.956,-104.998
1779423884242,342.141,8157.000,8052.039,8075.956,-104.961
1779423884262,342.277,8157.000,8052.082,8075.956,-104.918
1779423884272,338.033,8157.000,8050.745,8137.739,-106.255
1779423884282,342.350,8157.000,8052.104,8075.956,-104.896
1779423884292,338.127,8157.000,8050.775,8137.739,-106.225
1779423884302,342.454,8122.000,8052.137,8075.956,-69.863
1779423884312,338.242,8157.000,8050.811,8137.739,-106.189
1779423884322,342.569,8122.000,8052.173,8075.956,-69.827
1779423884332,338.357,8157.000,8050.847,8137.739,-106.153
1779423884342,342.663,8157.000,8052.203,8075.956,-104.797
1779423884352,338.440,8157.000,8050.873,8137.739,-106.127
1779423884372,338.555,8122.000,8050.909,8137.739,-71.091
1779423884392,338.648,8122.000,8050.939,8137.739,-71.061
1779423884412,338.753,8122.000,8050.972,8137.739,-71.028
1779423884432,338.857,8122.000,8051.004,8137.739,-70.996
1779423884452,338.972,8122.000,8051.041,8137.739,-70.959
1779423884472,339.055,8157.000,8051.067,8112.344,-105.933
1779423884492,339.170,8157.000,8051.103,8112.344,-105.897
1779423884512,339.285,8122.000,8051.139,8112.344,-70.861
1779423884532,339.378,8122.000,8051.169,8112.344,-70.831
1779423884552,339.493,8157.000,8051.205,8112.344,-105.795
1779423884572,339.608,8157.000,8051.241,8112.344,-105.759
1779423884592,339.691,8157.000,8051.267,8112.344,-105.733
1779423884612,339.806,8157.000,8051.303,8112.344,-105.697
1779423884632,339.920,8157.000,8051.339,8112.344,-105.661
1779423884652,340.003,8157.000,8051.365,8092.465,-105.635
1779423884672,340.107,8157.000,8051.398,8092.465,-105.602
1779423884683,335.779,8122.000,8059.651,8084.937,-62.349
1779423884692,340.212,8157.000,8051.431,8092.465,-105.569
1779423884703,335.904,8122.000,8058.991,8084.937,-63.009
1779423884712,340.316,8157.000,8051.464,8092.465,-105.536
1779423884723,335.987,8122.000,8058.553,8084.937,-63.447
1779423884732,340.430,8157.000,8051.500,8092.465,-105.500
1779423884743,336.102,8122.000,8057.949,8055.344,-64.051
1779423884752,340.524,8157.000,8051.529,8092.465,-105.471
1779423884763,336.216,8157.000,8057.344,8055.344,-99.656
1779423884783,336.299,8122.000,8056.907,8055.344,-65.093
1779423884803,336.414,8122.000,8056.302,8055.344,-65.698
1779423884823,336.507,8122.000,8055.809,8055.344,-66.191
1779423884843,336.622,8122.000,8055.205,8055.344,-66.795
1779423884863,336.716,8122.000,8054.712,8055.344,-67.288
1779423884883,336.830,8122.000,8054.108,8055.344,-67.892
1779423884903,336.945,8122.000,8053.504,8055.344,-68.496
1779423884923,337.028,8122.000,8053.067,8101.903,-68.933
1779423884943,337.142,8122.000,8052.463,8101.903,-69.537
1779423884963,337.257,8122.000,8051.859,8101.903,-70.141
1779423884983,337.340,8122.000,8051.422,8101.903,-70.578
1779423885003,337.465,8122.000,8050.763,8101.903,-71.237
1779423885023,337.548,8157.000,8050.592,8101.903,-106.408
1779423885043,337.662,8122.000,8050.628,8101.903,-71.372
1779423885063,337.756,8122.000,8050.658,8101.903,-71.342
1779423885083,337.870,8157.000,8050.694,8101.903,-106.306
1779423885087,333.647,8122.000,8070.887,8129.553,-51.113
1779423885103,337.974,8157.000,8050.726,8101.903,-106.274
1779423885107,333.741,8122.000,8070.395,8129.553,-51.605
1779423885123,338.067,8157.000,8050.756,8137.739,-106.244
1779423885127,333.855,8122.000,8069.791,8129.553,-52.209
1779423885143,338.182,8157.000,8050.792,8137.739,-106.208
1779423885147,333.970,8122.000,8069.188,8129.553,-52.812
1779423885163,338.296,8157.000,8050.828,8137.739,-106.172
1779423885167,334.052,8122.000,8068.751,8162.821,-53.249
1779423885187,334.167,8122.000,8068.148,8162.821,-53.852
1779423885207,334.260,8122.000,8067.656,8162.821,-54.344
1779423885227,334.375,8122.000,8067.053,8162.821,-54.947
1779423885247,334.479,8122.000,8066.505,8162.821,-55.495
1779423885267,334.572,8122.000,8066.014,8162.821,-55.986
1779423885287,334.686,8122.000,8065.411,8162.821,-56.589
1779423885307,334.801,8122.000,8064.808,8162.821,-57.192
1779423885327,334.883,8122.000,8064.372,8162.821,-57.628
1779423885347,334.998,8122.000,8063.769,8162.821,-58.231
1779423885367,335.080,8122.000,8063.333,8084.937,-58.667
1779423885387,335.205,8122.000,8062.674,8084.937,-59.326
1779423885407,335.320,8122.000,8062.072,8084.937,-59.928
1779423885427,335.402,8122.000,8061.636,8084.937,-60.364
1779423885447,335.517,8122.000,8061.033,8084.937,-60.967
1779423885467,335.610,8122.000,8060.542,8084.937,-61.458
1779423885487,335.713,8122.000,8059.995,8084.937,-62.005
1779423885493,331.501,8088.000,8082.201,8113.986,-5.799
1779423885507,335.838,8122.000,8059.337,8084.937,-62.663
